"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1003707480","HOPEFUL EVENING ASSC.","3"
"1013808492","Loved One Comfort Care","5"
"1033000500","unified care agency","5"
"1053202523","Marton Care Health Center","3"
"1063303535","Bay Wound Care","3"
"1073404521","LUO","3"
"1073404521","RIVER BREEZE HOME CARE LLC","3"
"1164490454","Rancho Physical Therapy","3"
"1174591812","Rancho Physical Therapy","3"
"1194616649","The helping hands tour","4"
"1225929771","The Body Emporium Aesthetics and Wellness","3"
"1265323711","Peace River TCM","5"
"1285602946","Rancho Physical Therapy","3"
"1336030709","Abilities2Love.com","3"
"1366333734","Integrative Wellness Medical Center","3"
"1467343913","Grand Pharmacy 111","3"
"1508757063","Bar-T Counseling","3"
"1740023902","Analytical Minds Autism Care INC","4"
"1750312542","IRG Physical & Hand Therapy - Mill Creek","3"
"1750312542","IRG Physical & Hand Therapy - Murphy's Corner","4"
"1750312542","Murphy's Corner Physical Therapy","4"
"1780575258","Center For Reproductive Medicine and Fertility","3"
"1780575779","Her Safe Haven","3"
"1891763561","Rancho Physical Therapy","5"
"1902797475","DRA AMALYS MONTANEZ","3"
"1902797475","DRA AMALYS MONTANEZ LEDUC","3"
"1972120897","CDT Clinica Todo Salud Aibonito, LLC","3"
"1043617616","HealthFirst Bluegrass Newtown Pike Dental","5"
"1104637909","SEA OF SMILES","3"
"1134917800","VS Clinic","3"
"1164313557","Lake CountryDental Center","3"
"1225929607","Homewatch CareGivers of Cedar Hill","3"
"1235020637","Goel OH Residence","5"
"1326121039","Walmart Vision Center 30-1199","3"
"1417848136","Talk with Diana","3"
"1427949809","The Caring Touch","3"
"1508628819","MyOr Diagnostics Ltd","3"
"1538835772","Charlie Health","3"
"1548159361","Alaura Health Care","4"
"1609350412","Mt Prospect Pharmacy","3"
"1619868015","Shannon Baxter, FNP-C","5"
"1639897077","Charlie Health","3"
"1689565061","Jayhawk Management, LLC","3"
"1700558368","Charlie Health","3"
"1942191358","Cypress Eye Care","3"
"1952379133","Northlake Dialysis","3"
"1952716847","DoD MCCONNELL ePhcy","3"
"1053198382","LECOM Health Millcreek Medical Arts","3"
"1073404497","CapInfinite Solutions LLC","3"
"1124125984","SAN DG NAVSTA PHARMACY","3"
"1245126762","LECOM Health Sterrettania Medical Center","3"
"1275320442","Fehr Orthodontics, LLC","4"
"1285631945","TCH Family Medical Clinic","3"
"1336504075","Memorial Division of Child/Adolescent Psychiatry","3"
"1366333783","Exceptional Equestrians","5"
"1396636700","CareONE Concierge","3"
"1437747136","Charlie Health","3"
"1447491220","Farmacia Policlinica Castaner","3"
"1447848577","Charlie Health","3"
"1538960273","Crosspoint Healing & Recovery","3"
"1548932619","Team Rehabilitation Services LLC - MI","5"
"1639060049","Pedersen Chiropractic Center","3"
"1649161068","Lutherville Pharmacy LTC","3"
"1700609245","CommonSpirit ENT Caley","5"
"1700609245","CommonSpirit ENT Centennial","5"
"1700609245","ENT Centennial","5"
"1801687249","Hamilton Respiratory and Nursing Center","3"
"1831859438","Moultrie Home Training","3"
"1851287288","LECOM Health West Grandview Primary Care","3"
"1871264648","DCD Clinical Services","3"
"1881583730","Longstreet of NGHS","3"
"1932090354","Southside Medical Center SBHC at Huie Elementary School","3"
"1952297467","LECOM Health Southeast Family Practice","3"
"1952935892","LECOM Health Orthopedics & Sports Medicine","3"
"1023611381","Charlie Health","3"
"1043976400","Parkwood in the Pines","3"
"1104458769","MAVA Healthcare","3"
"1104717537","Mt. Sterling Family Chiropractic","3"
"1134501869","The Brazos of Waco","3"
"1154212595","Eat Fit Go","3"
"1174248371","Action Physical Therapy","3"
"1215828652","APC","5"
"1235020678","Infinity Care LLC","3"
"1265996789","Community Nurse Health Association","4"
"1285003350","Stratus","3"
"1285215210","Charlie Health","3"
"1285939256","Ascension at Home","3"
"1306663240","Solutions Home Care Agency","3"
"1376090209","Karnaby Drugs 2","3"
"1386739944","Schoharie County Chemical Dependence Clinic","3"
"1427407386","Stratus","3"
"1457378770","WAL-MART PHARMACY 10-1569","3"
"1477543171","Northern Nevada Medical Center","3"
"1487671699","WAL-MART PHARMACY 10-1570","3"
"1508819079","Schoharie County Mental Health Clinic","3"
"1538980008","Orange Pill Pharmacy","3"
"1629673785","Charlie Health","3"
"1629882170","Charlie Health","3"
"1639060080","TNJC Houston","3"
"1639350804","Centennial Dialysis Center","3"
"1659328177","Swedish Prof Health Service Cardiology","3"
"1669141941","newbeginnings4uinc.org","3"
"1679526644","AVH Surgical Associates","3"
"1689669046","Videre Diagnostics","3"
"1700824398","Miami County Medical Center","3"
"1710799374","Ruth Cowin House - Beacon","5"
"1730301268","Southwood Smiles Dental Care","3"
"1750272183","Omni Dental Chelmsford","3"
"1790475770","Grayson County Professionals","3"
"1811888258","Steady Hands Homecare Services LLC","4"
"1851381768","Northern Nevada Medical Center","3"
"1932558608","Stratus","3"
"1962393306","Revive Pain Solutions Grand Rapids","3"
"1972841526","Stratus","3"
"1982149738","Stratus","3"
"1982415857","Solutions Home Care Agency","3"
"1982595328","--None--","5"
"1013473636","Ventura Orthopedics","3"
"1104389931","Ventura Orthopedics","3"
