"NPI","Provider Secondary Practice Location Address- Address Line 1","Provider Secondary Practice Location Address-  Address Line 2","Provider Secondary Practice Location Address - City Name","Provider Secondary Practice Location Address - State Name","Provider Secondary Practice Location Address - Postal Code","Provider Secondary Practice Location Address - Country Code (If outside U.S.)","Provider Secondary Practice Location Address - Telephone Number","Provider Secondary Practice Location Address - Telephone Extension","Provider Practice Location Address - Fax Number"
"1124733852","655 US Highway 31 S","","Greenwood","IN","461423061","US","3178811655","",""
"1578361143","7171 N Cedar Ave","","Fresno","CA","937203311","US","5594498000","","5594494401"
"1619470572","500 S Preston St Rm 305","","Louisville","KY","402021702","US","5028528696","",""
"1629031752","9709 3rd Ave NE","","Seattle","WA","981152062","US","2063291760","",""
"1629031752","4545 Cordata Pkwy Ste 1C","","Bellingham","WA","98226","US","3607382200","","3607525689"
"1013470079","1728 W Marine View Dr Ste 6","","Everett","WA","982012094","US","4253395453","",""
"1013470079","200 Retreat Avenue","Hartford Hospital Psychiatry Dept","Hartford","CT","061063309","US","8605457200","",""
"1013470079","80 Seymour St","Hartford Hospital Psychiatry Dept","Hartford","CT","061028000","US","8605457183","",""
"1750130811","103 W Main St","","Everson","WA","982478250","US","3607884228","",""
"1649955337","3440 E Baseline Rd Ste 106","","Mesa","AZ","852047247","US","4809262350","",""
"1578294310","1720 E Cesar E Chavez Ave","","Los Angeles","CA","900332414","US","3232685000","",""
"1578294310","4150 V St # 1100","","Sacramento","CA","958171460","US","9167342737","",""
"1043872120","701 W 5th St","","Odessa","TX","797634206","US","4327035375","",""
"1366333809","1857 Knoll Dr","","Ventura","CA","930037321","US","8056678200","","8056678201"
"1639060189","700 Liberty Ln","","West Carrollton","OH","454492135","US","6148443800","",""
"1457242901","475 Buena Vista Ave Apt 213","","Alameda","CA","945011952","US","5102857278","",""
"1710878269","202 W Hancock St","","ONeill","NE","687631934","US","4023402220","",""
"1841181393","2625 Weston Rd","","Weston","FL","333313614","US","9546019555","",""
"1831080381","415 Allen St","","Batesville","AR","725016958","US","8703073790","","8703763551"
"1649161100","1600 SW Archer Rd","","Gainesville","FL","326103003","US","3522736575","",""
"1225929789","140 E Rawson Ave Ste 317","","Oak Creek","WI","531541525","US","2622870090","","2629231939"
"1225929789","3615 Washington Rd Ste A","","Kenosha","WI","531441640","US","2622870090","","2629231939"
"1295626752","140 E Rawson Ave Ste 317","","Oak Creek","WI","531541525","US","2622870090","","2629231939"
"1295626752","3615 Washington Rd Ste A","","Kenosha","WI","531441640","US","2622870090","","2629231939"
"1366333833","101 N Franklin St Ste A","","Tampa","FL","336025831","US","8132292225","",""
