            table_name             |            column_name            |          data_type          | is_nullable 
-----------------------------------+-----------------------------------+-----------------------------+-------------
 admin_prompt_reviews              | id                                | integer                     | NO
 admin_prompt_reviews              | prompt_id                         | text                        | NO
 admin_prompt_reviews              | reviewer_id                       | integer                     | YES
 admin_prompt_reviews              | review_status                     | text                        | YES
 admin_prompt_reviews              | feedback                          | text                        | YES
 admin_prompt_reviews              | created_at                        | timestamp without time zone | YES
 admin_prompt_reviews              | updated_at                        | timestamp without time zone | YES
 allergies                         | id                                | integer                     | NO
 allergies                         | patient_id                        | integer                     | NO
 allergies                         | encounter_id                      | integer                     | YES
 allergies                         | allergen                          | text                        | NO
 allergies                         | reaction                          | text                        | NO
 allergies                         | severity                          | text                        | YES
 allergies                         | onset_date                        | date                        | YES
 allergies                         | notes                             | text                        | YES
 allergies                         | status                            | text                        | YES
 allergies                         | verified_by                       | integer                     | YES
 allergies                         | verified_at                       | timestamp without time zone | YES
 allergies                         | source_type                       | text                        | YES
 allergies                         | source_confidence                 | numeric                     | YES
 allergies                         | source_timestamp                  | timestamp without time zone | YES
 allergies                         | extracted_from_attachment_id      | integer                     | YES
 allergies                         | extraction_notes                  | text                        | YES
 allergies                         | allergy_type                      | text                        | YES
 allergies                         | reaction_type                     | text                        | YES
 allergies                         | consolidation_reasoning           | text                        | YES
 allergies                         | merged_ids                        | ARRAY                       | YES
 allergies                         | visit_history                     | jsonb                       | YES
 allergies                         | created_at                        | timestamp without time zone | YES
 allergies                         | updated_at                        | timestamp without time zone | YES
 allergies                         | last_reaction                     | date                        | YES
 allergies                         | last_reaction_date                | date                        | YES
 allergies                         | verification_status               | text                        | YES
 allergies                         | drug_class                        | text                        | YES
 allergies                         | cross_reactivity                  | ARRAY                       | YES
 allergies                         | source_notes                      | text                        | YES
 allergies                         | entered_by                        | integer                     | YES
 allergies                         | temporal_conflict_resolution      | text                        | YES
 allergies                         | last_updated_encounter            | integer                     | YES
 appointment_duration_history      | id                                | integer                     | NO
 appointment_duration_history      | appointment_id                    | integer                     | YES
 appointment_duration_history      | predicted_duration                | integer                     | YES
 appointment_duration_history      | actual_duration                   | integer                     | YES
 appointment_duration_history      | created_at                        | timestamp without time zone | YES
 appointment_resource_requirements | id                                | integer                     | NO
 appointment_resource_requirements | appointment_type_id               | integer                     | YES
 appointment_resource_requirements | resource_type                     | text                        | YES
 appointment_resource_requirements | resource_id                       | integer                     | YES
 appointment_resource_requirements | created_at                        | timestamp without time zone | YES
 appointment_types                 | id                                | integer                     | NO
 appointment_types                 | health_system_id                  | integer                     | YES
 appointment_types                 | name                              | character varying           | NO
 appointment_types                 | duration_minutes                  | integer                     | NO
 appointment_types                 | color                             | character varying           | YES
 appointment_types                 | description                       | text                        | YES
 appointment_types                 | is_active                         | boolean                     | YES
 appointment_types                 | created_at                        | timestamp with time zone    | YES
 appointment_types                 | updated_at                        | timestamp with time zone    | YES
 appointments                      | id                                | integer                     | NO
 appointments                      | patient_id                        | integer                     | NO
 appointments                      | provider_id                       | integer                     | NO
 appointments                      | location_id                       | integer                     | NO
 appointments                      | appointment_type_id               | integer                     | YES
 appointments                      | start_time                        | timestamp with time zone    | NO
 appointments                      | end_time                          | timestamp with time zone    | NO
 appointments                      | duration_minutes                  | integer                     | NO
 appointments                      | ai_predicted_duration             | integer                     | YES
 appointments                      | status                            | character varying           | YES
 appointments                      | chief_complaint                   | text                        | YES
 appointments                      | notes                             | text                        | YES
 appointments                      | checked_in_at                     | timestamp with time zone    | YES
 appointments                      | checked_in_by                     | integer                     | YES
 appointments                      | completed_at                      | timestamp with time zone    | YES
 appointments                      | completed_by                      | integer                     | YES
 appointments                      | cancelled_at                      | timestamp with time zone    | YES
 appointments                      | cancelled_by                      | integer                     | YES
 appointments                      | cancellation_reason               | text                        | YES
 appointments                      | created_at                        | timestamp with time zone    | YES
 appointments                      | updated_at                        | timestamp with time zone    | YES
 article_comments                  | id                                | integer                     | NO
 article_comments                  | article_id                        | integer                     | NO
 article_comments                  | author_name                       | text                        | NO
 article_comments                  | author_email                      | text                        | NO
 article_comments                  | content                           | text                        | NO
 article_comments                  | is_approved                       | boolean                     | YES
 article_comments                  | parent_id                         | integer                     | YES
 article_comments                  | created_at                        | timestamp without time zone | YES
 article_generation_queue          | id                                | integer                     | NO
 article_generation_queue          | topic                             | text                        | YES
 article_generation_queue          | category                          | text                        | NO
 article_generation_queue          | target_audience                   | text                        | NO
 article_generation_queue          | keywords                          | ARRAY                       | YES
 article_generation_queue          | competitor_mentions               | ARRAY                       | YES
 article_generation_queue          | research_sources                  | jsonb                       | YES
 article_generation_queue          | status                            | text                        | NO
 article_generation_queue          | generated_article_id              | integer                     | YES
 article_generation_queue          | error                             | text                        | YES
 article_generation_queue          | created_at                        | timestamp without time zone | YES
 article_generation_queue          | processed_at                      | timestamp without time zone | YES
 article_generation_queue          | custom_prompt                     | text                        | YES
 article_revisions                 | id                                | integer                     | NO
 article_revisions                 | article_id                        | integer                     | NO
 article_revisions                 | content                           | text                        | NO
 article_revisions                 | revision_note                     | text                        | YES
 article_revisions                 | revision_type                     | text                        | YES
 article_revisions                 | created_by                        | integer                     | YES
 article_revisions                 | created_at                        | timestamp without time zone | YES
 articles                          | id                                | integer                     | NO
 articles                          | title                             | text                        | NO
 articles                          | slug                              | text                        | NO
 articles                          | content                           | text                        | NO
 articles                          | excerpt                           | text                        | YES
 articles                          | category                          | text                        | NO
 articles                          | status                            | text                        | NO
 articles                          | author_name                       | text                        | YES
 articles                          | featured_image                    | text                        | YES
 articles                          | meta_title                        | text                        | YES
 articles                          | meta_description                  | text                        | YES
 articles                          | keywords                          | ARRAY                       | YES
 articles                          | target_audience                   | text                        | YES
 articles                          | reading_time                      | integer                     | YES
 articles                          | view_count                        | integer                     | YES
 articles                          | published_at                      | timestamp without time zone | YES
 articles                          | scheduled_for                     | timestamp without time zone | YES
 articles                          | generated_at                      | timestamp without time zone | YES
 articles                          | reviewed_at                       | timestamp without time zone | YES
 articles                          | reviewed_by                       | integer                     | YES
 articles                          | created_at                        | timestamp without time zone | YES
 articles                          | updated_at                        | timestamp without time zone | YES
 attachments                       | id                                | integer                     | NO
 attachments                       | patient_id                        | integer                     | NO
 attachments                       | encounter_id                      | integer                     | YES
 attachments                       | filename                          | text                        | NO
 attachments                       | original_filename                 | text                        | YES
 attachments                       | file_type                         | text                        | YES
 attachments                       | file_size                         | integer                     | YES
 attachments                       | mime_type                         | text                        | YES
 attachments                       | upload_date                       | timestamp without time zone | YES
 attachments                       | uploaded_by                       | integer                     | YES
 attachments                       | document_type                     | text                        | YES
 attachments                       | document_date                     | date                        | YES
 attachments                       | description                       | text                        | YES
 attachments                       | thumbnail_path                    | text                        | YES
 attachments                       | ocr_text                          | text                        | YES
 attachments                       | ocr_completed                     | boolean                     | YES
 attachments                       | ocr_completed_at                  | timestamp without time zone | YES
 attachments                       | processing_status                 | text                        | YES
 attachments                       | processing_notes                  | text                        | YES
 attachments                       | extracted_data                    | jsonb                       | YES
 attachments                       | chart_sections_updated            | ARRAY                       | YES
 attachments                       | confidence_scores                 | jsonb                       | YES
 attachments                       | hash_value                        | text                        | YES
 attachments                       | is_deleted                        | boolean                     | YES
 attachments                       | deleted_at                        | timestamp without time zone | YES
